correction_id,severity,section,article_page,pdf_lines,equations_or_figures,topic,published_position,audit_finding,corrected_statement,scientific_consequence,recommended_action,related_claim_ids,verification_files,primary_support,confidence
PC-001,critical,Abstract,1,L5-L14,Abstract,Source of the boundary,The abstract attributes the trajectory boundaries to random matrix theory.,The exact feasible boundary follows from finite-dimensional spectrum optimization. Random matrix theory supplies ensemble-conditioned reference distributions or loci inside that feasible arena.,"Exact geometry: for fixed p=lambda_max, use the concentrated spectrum for the minimum and the equal-tail spectrum for the maximum. Describe Haar/Wishart or spiked-Wishart curves separately as probabilistic references.",This changes the logical hierarchy but strengthens the exact mathematical core.,formal corrigendum + repository clarification,ET-EX-004;ET-EX-005;ET-COR-001;ET-COR-006,outputs/paper_corrections/exact_boundary_comparison.csv,Nielsen 1999; direct majorization proof,high
PC-002,high,Abstract,1,L9-L14,Abstract,Invariance across metrics and situations,The abstract presents the entanglement trajectory as an invariant property maintained across situations and definitions of entanglement.,"The paper contains only limited visual evidence and no defined equivalence relation or invariance group. The follow-up package now supports a scoped empirical robustness claim, not a universal invariant theorem.",Use 'metric-robust trajectory morphology across the tested models and metrics' and explicitly retain room for local metric disagreement.,"The philosophy survives, but its status changes from universal assertion to quantified empirical result.",formal corrigendum wording + repository clarification,ET-DEF-005;ET-DEF-006;ET-EMP-003;ET-COR-010,../metadata/preliminary_metric_robustness_n20.json,Nielsen 1999; follow-up package,high
PC-003,high,Introduction,1,L16-L21,,Low entropy and tensor-network simulation,Logarithmic von Neumann entropy is treated as sufficient for an efficient MPS/tensor-network simulation of the same computational problem.,"Von Neumann entropy scaling alone does not control the full Schmidt tail and is not sufficient for efficient MPS approximability. Cut structure, approximation norm, and the relevant Renyi or tail conditions matter.",State only the one-way result that bounded Schmidt rank or controlled Schmidt tails can enable efficient MPS simulation in specified settings.,Removes an unsupported computational-complexity premise from the motivation.,formal corrigendum wording,ET-COR-007,,Schuch-Wolf-Verstraete-Cirac 2008,high
PC-004,high,Introduction,1,L21-L23,,Highly entangled states and fair coins,Very high entanglement is said to allow quantum resources to be replaced by a fair coin.,The cited result concerns the scarcity of useful resource states in measurement-based quantum computation and related universality notions; it is not a theorem about arbitrary highly entangled circuit states.,Remove the fair-coin statement. Say instead that entanglement amount alone is not sufficient to certify computational usefulness.,Preserves the useful warning without overgeneralizing the cited theorem.,formal corrigendum wording,ET-COR-008,,Gross-Flammia-Eisert 2009,high
PC-005,high,Introduction,1,L24-L26,,Universal narrow band for speedup,All states capable of computational speedup are placed in a narrow interval between too little and too much entanglement.,"No universal theorem establishes such a scalar-entropy band. Computational usefulness depends on state structure, circuit family, allowed measurements, approximation model, and the selected cut.",Replace this premise with the metric-plurality question: many entanglement functionals observe the same Schmidt-spectrum dynamics but can agree or disagree.,This redirects the paper toward its strongest surviving philosophy.,formal corrigendum wording,ET-COR-009,,Schuch et al. 2008; Gross et al. 2009,high
PC-006,medium,Introduction,1,L30-L35,,Generic isolated dominant eigenvalue,Reduced spectra are described as usually containing one isolated dominant eigenvalue with the remainder close to zero.,That pattern is ensemble- and regime-dependent. Balanced Haar-random reduced spectra have a broad Marchenko-Pastur bulk and no generic finite-rank spike.,"Present lambda_max as a deliberately chosen compression coordinate, not as evidence that a dominant spike is generic.",Broadens the framework beyond the special noncentral ensemble.,repository clarification,ET-COR-013;ET-CON-001;ET-CON-002,,Zyczkowski-Sommers 2001; Nechita 2007,high
PC-007,high,Section 2,2,L41-L64,Eq. (1),Domain of the binary-entropy lower curve,The binary spectrum is introduced as the lower boundary without stating that lambda_max must be at least one half.,"For p<1/2, a two-entry spectrum (p,1-p) does not have p as its largest eigenvalue. The exact minimum is then attained by several entries equal to p plus one remainder.",Restrict Eq. (1) to p>=1/2 and replace the global lower envelope by the piecewise concentrated-spectrum formula.,Corrects the central feasible-region geometry.,formal corrigendum,ET-EX-005;ET-COR-001,outputs/paper_corrections/exact_boundary_comparison.csv,Direct majorization proof,high
PC-008,medium,Section 2,2,L54-L64,Eq. (2),Role of -log(lambda_max),The curve -log p is described as a lower boundary at reciprocal points but is plotted as a general boundary component.,It touches the exact lower boundary only when p=1/w. Between reciprocal points it is not the lower envelope.,"Retain Eq. (2) as a set of contact points or the min-entropy coordinate, not as a continuous exact boundary.",Clarifies why the exact lower boundary is piecewise.,formal corrigendum,ET-EX-005;ET-COR-001,outputs/paper_corrections/exact_boundary_comparison.csv,Direct spectrum optimization,high
PC-009,critical,Section 2,2,L65-L75,Eq. (3),Exact upper entropy boundary,The upper curve uses log(alpha) after replacing alpha-1 by alpha and is subsequently called tight.,"The exact upper boundary is h(p)+(1-p)log(alpha-1), attained by the equal-tail spectrum. The published curve exceeds it by (1-p)log[alpha/(alpha-1)].",Replace Eq. (3) by S_max(p;alpha)=-p log p-(1-p)log[(1-p)/(alpha-1)].,Removes a finite-dimensional error in a central formula.,formal corrigendum,ET-EX-004;ET-COR-001,outputs/paper_corrections/exact_boundary_comparison.csv,Direct majorization proof,high
PC-010,critical,Section 2,2,L70-L75,Fig. 1,Claim of a tight counterexample-free three-curve boundary,"The region formed by f1, f2, and f3 is called tight and impossible to violate.","It is an outer approximation. For alpha=32 the lower approximation can lie about 0.1572 nats below the exact lower boundary, while the upper curve can exceed the exact maximum by about 0.03076 nats.",Call the old curves historical approximations and replace Figure 1 with exact piecewise envelopes.,The exact claim becomes stronger once the correct formulas are used.,formal corrigendum + figure replacement,ET-EX-006;ET-COR-001,outputs/paper_corrections/exact_boundary_comparison.csv,Direct calculation,high
