id,severity,blocker,category,finding,evidence,impact,action,gate,resolution_status,release_disposition,resolution_evidence,residual_action
PR-001,Critical,Yes,Numerical physics / XXZ,"The random-field XXZ data use one second-order product-formula substep per record interval, but no convergence study is part of the release.","Model registry sets dt_record=0.25 and trotter_substeps=1. Independent n=10,12 tests against 8 substeps found normalized metric errors up to 0.576 and substantial changes in metric-competition rates.","XXZ-specific path morphology, competition rates, and any physical interpretation as XXZ Hamiltonian dynamics are not numerically controlled.","Regenerate XXZ with at least 4 substeps and demonstrate 4-vs-8 convergence at n=10,12,14; preferably regenerate all release sizes. Otherwise relabel the object as a fixed product-formula circuit and remove claims of converged XXZ dynamics.",Max declared-observable 4-vs-8 differences below a preregistered tolerance; regenerated tables/figures/tests all pass.,closed_for_release,Blocker closed under the fixed-circuit interpretation.,docs/XXZ_PRODUCT_FORMULA_CONVERGENCE.md; data/xxz_convergence_n10_n12_n14.zip; metadata/public_claims.json PUB-LIM-XXZ-001,A future Hamiltonian-dynamics dataset should use the convergence-controlled setting over all desired sizes.
PR-002,Critical,Yes,Figure provenance,The documented make rebuild-included workflow does not feed its freshly recomputed robustness results into the public figure builder.,"scripts/rebuild_all_from_included_data.sh writes outputs/rebuild/* and then calls scripts/build_public_figures.py, while that builder always reads data/public_analysis_inputs.zip.","The public figures can remain unchanged even when a fresh analysis differs, so the advertised end-to-end provenance chain is not real.","Add an explicit input directory/archive option to the figure builder and use fresh outputs, or fail unless fresh tables match the archived public inputs within declared tolerances.",A controlled perturbation of a recomputed table changes the corresponding figure or causes the workflow to fail.,closed,End-to-end public-figure provenance implemented and tested.,docs/PUBLIC_FIGURE_PROVENANCE.md; scripts/build_public_figures.py; scripts/rebuild_all_from_included_data.sh; tests/test_repository.py,None for v1.0.0.
PR-003,Critical,Yes,Exact mathematics / Hartley entropy,The code claims an exact q=0 Rényi/Hartley limit but uses a numerical support threshold that contradicts the documented exact discontinuity.,"At d=1024 and p=1-1e-14, the equal-tail spectrum has 1024 strictly positive entries and exact H0=10 bits, but the default code and fixed-p boundary return H0=0 because support_tol=1e-15.",The repository's stated exact all-q metric layer is false at q=0 near product spectra.,Implement Hartley fixed-p boundaries analytically and distinguish exact mathematical support from numerical-rank estimation; add near-product regression tests.,"The d=1024,p=1-1e-14 counterexample returns lower=1 bit, upper=10 bits (base 2), and exact constructed spectra do not use a positive support threshold.",closed,Exact Hartley and thresholded numerical rank are separated.,src/entanglement_trajectories/metrics.py; src/entanglement_trajectories/boundaries.py; docs/EXACT_SPECTRAL_GEOMETRY.md; tests/test_repository.py,None for v1.0.0.
PR-004,High,Yes,Reproducibility / CI,Dependencies are specified only by lower bounds and no passing hosted run for the final release commit was verified during this audit.,"pyproject.toml permits arbitrary future NumPy, pandas, SciPy, matplotlib, Pillow, PyYAML, and pytest versions. A previous hosted run exposed backend/version sensitivity.",A tagged release may not reproduce its own figures and numerical tolerances across environments.,Add a release constraints/lock file and make the primary CI job install it; optionally retain a second latest-dependencies portability job. Require a green run on the tagged commit.,Clean hosted CI passes using the pinned release environment and reports package versions.,closed_locally_hosted_gate_pending,Exact release locks and a hardened pinned CI job are present; local structure and scientific checks pass.,requirements/release-py311.txt; requirements/release-build.txt; environment/release-py311.json; .github/workflows/qa.yml; docs/RELEASE_ENVIRONMENT.md,Require one green locked hosted workflow run on the final uploaded commit before tagging.
PR-005,High,No,Statistical interpretation,The strongest fingerprint/classification numbers use the full path and are substantially boosted by the shared horizontal lambda_max coordinate.,Centroid leave-size same/cross accuracy is 0.917/0.694 for full paths but 0.806/0.347 for vertical-only paths. Individual double-holdout vertical-only cross-metric accuracy is 0.257.,Readers may attribute common-x information to metric-robust vertical morphology.,"Show full-path, vertical-only, and lambda_max-only results together in Figure 5 and its caption; lead with the y-only result when discussing cross-metric transfer.",Public claims and figure distinguish shared-coordinate signal from metric-dependent signal.,closed,"Figure 5 and docs separate full-path, vertical-only, and lambda-max-only classification.",figures/public/figure_05_model_morphology_and_limits.png; docs/FINGERPRINT_GENERALIZATION_LIMITS.md; metadata/public_claims.json PUB-EMP-008,None for v1.0.0.
PR-006,High,No,Missing-data treatment,Trajectory resampling bridges internal intervals where the boundary-relative coordinate is undefined.,"The interpolation keeps all finite samples between the first and last finite time, even across internal NaN gaps. QCA_1 has 12-21 internal missing points depending on size.",Some distances and classifications are computed through artificial interpolation across collapsed exact envelopes.,Interpolate only within contiguous finite segments or report a gap-aware sensitivity analysis in the canonical outputs.,Gap-aware results are primary or shown alongside current values; no hidden bridging of undefined intervals.,closed,Boundary-coordinate interpolation is contiguous-segment and gap aware.,src/entanglement_trajectories/robustness.py; tests/test_repository.py; gap-aware canonical classification outputs,None for v1.0.0.
PR-007,High,No,Scientific wording,The phrase four quantum-chaos families overstates the status of all included conditions.,"The registry includes Clifford-reference QCA, transverse-reference kicked Ising, standard/perturbed baker, and weak/strong-disorder XXZ conditions; chaos is not established separately for every run.",The empirical scope can be read as a controlled comparison of four chaotic ensembles when it is a broader dynamics suite.,"Use four dynamical families used to probe scrambling, integrability, localization, and spectral complexity unless a chaos diagnostic is supplied per condition.","README, AI context, captions, and metadata use scoped terminology consistently.",closed,"Public claim wording now says four dynamical families used to probe scrambling, recurrence, disorder, and spectral complexity.",README.md; START_HERE.md; SCIENTIFIC_POSITION.md; docs/SCIENTIFIC_OVERVIEW.md; paper/AUTHOR_CLARIFICATION_2026.md,"Retain quantum-chaos as a discovery keyword, not a per-condition classification."
PR-008,High,No,Sampling / replication,"Each model-condition-size cell is deterministic and the study has only four designed conditions per model, not independent ensemble replication.",One deterministic random-product seed and one disorder realization are used per applicable run and size.,"Bootstrap intervals and classifier accuracy describe the designed dataset, not a population of disorder or initial-state realizations.","State this prominently; call the bootstrap a design-cluster sensitivity interval. For stronger model inference, add independent disorder and initial-state replicates.",No population-level language without genuine replicate ensembles.,closed_by_scope_and_sensitivity,Designed deterministic conditions and nonpopulation interpretation are explicit; model-stratified design-cluster sensitivity is canonical.,docs/LIMITATIONS.md; docs/ANALYSIS_METHODS.md; metadata/public_claims.json PUB-LIM-DESIGN-001; common_mode_sensitivity.json,"Independent disorder/initial-state replicates remain a future expansion, not a v1.0.0 claim."
PR-009,High,No,Time coordinate,The common coordinate tau=step/n is not a universal physical time across the four model families.,"Simulation records tau=step/n, whereas XXZ has dt_record=0.25 and circuit/map iterations have different physical meanings.",Cross-model trajectory geometry can be interpreted as time-aligned physical dynamics when it is a scaled iteration/depth coordinate.,Rename tau to scaled step or scaled depth in public text and retain model-specific physical-time metadata.,All figures/captions define the coordinate without implying universal physical time.,closed,"Tau is defined as a scaled iteration coordinate, not common physical time.",README.md; docs/ANALYSIS_METHODS.md; metadata/definitions.json,None for v1.0.0.
PR-010,High,No,References,The corrected repository lacks a consolidated peer-review bibliography for its exact and interpretive claims.,"Core documents invoke majorization, Page entropy, Li-Haldane, Wishart/MP, and product-formula physics without a stable REFERENCES.md or equivalent full citations.",Readers and AI systems cannot easily distinguish established results from this repository's derivations and interpretations.,Add primary references with DOI/arXiv links and map them to claim IDs.,Every external theorem or historical attribution has a complete primary citation.,closed,Primary references and machine-readable bibliography added.,REFERENCES.md; metadata/references.json,Keep bibliography current in future releases.
